apt_name,trade_price,jeonse_price,gap_man,gap_ratio,region_code,region_name
한신,368000.0,100666.66666666667,267333.3333333333,0.7264,11650,서울서초구
한신서래,294500.0,54200.0,240300.0,0.816,11650,서울서초구
한신타워,329000.0,98550.0,230450.0,0.7005,11650,서울서초구
한신휴플러스,160000.0,100000.0,60000.0,0.375,11650,서울서초구
현대,300000.0,93500.0,206500.0,0.6883,11650,서울서초구
현대멤피스,275000.0,150000.0,125000.0,0.4545,11650,서울서초구
현대아르빌,249700.0,60000.0,189700.0,0.7597,11650,서울서초구
호반써밋서초파크,175500.0,66991.66666666667,108508.33333333333,0.6183,11650,서울서초구
황실자이,330000.0,225000.0,105000.0,0.3182,11650,서울서초구
2차한양아파트,234350.0,57500.0,176850.0,0.7546,11710,서울송파구
e편한세상송파파크센트럴,171783.33333333334,83866.07142857143,87917.26190476191,0.5118,11710,서울송파구
가락(1차)쌍용아파트,198761.11111111112,71265.38461538461,127495.72649572651,0.6415,11710,서울송파구
가락금호아파트,169000.0,63225.90909090909,105774.09090909091,0.6259,11710,서울송파구
가락쌍용(2차),196850.0,61250.0,135600.0,0.6888,11710,서울송파구
갤러리아팰리스,325000.0,184000.0,141000.0,0.4338,11710,서울송파구
거여1단지,103432.5,44738.46153846154,58694.03846153846,0.5675,11710,서울송파구
거여4단지,108500.0,42857.142857142855,65642.85714285714,0.605,11710,서울송파구
거여5단지,129375.0,49120.0,80255.0,0.6203,11710,서울송파구
건영1,112000.0,60000.0,52000.0,0.4643,11710,서울송파구
극동,187750.0,51460.0,136290.0,0.7259,11710,서울송파구
대림,222166.66666666666,79380.0,142786.66666666666,0.6427,11710,서울송파구
동부센트레빌,212000.0,90300.0,121700.0,0.5741,11710,서울송파구
동아한가람1,152250.0,75125.0,77125.0,0.5066,11710,서울송파구
두산위브,15500.0,13850.0,1650.0,0.1065,11710,서울송파구
래미안송파파인탑,216000.0,83410.0,132590.0,0.6138,11710,서울송파구
래미안파크팰리스,236400.0,95492.85714285714,140907.14285714284,0.5961,11710,서울송파구
레이크팰리스,297166.6666666667,130633.33333333333,166533.33333333337,0.5604,11710,서울송파구
롯데캐슬골드,302500.0,187666.66666666666,114833.33333333334,0.3796,11710,서울송파구
리센츠,297043.47826086957,125651.44444444444,171392.03381642513,0.577,11710,서울송파구
마천금호어울림1차아파트,116500.0,52000.0,64500.0,0.5536,11710,서울송파구
문정가락현대1차,220000.0,39280.0,180720.0,0.8215,11710,서울송파구
문정대우푸르지오2차,151500.0,51050.0,100450.0,0.663,11710,서울송파구
문정래미안,216333.33333333334,103375.0,112958.33333333334,0.5221,11710,서울송파구
문정시영,101163.63636363637,23547.5,77616.13636363637,0.7672,11710,서울송파구
미성,132000.0,70000.0,62000.0,0.4697,11710,서울송파구
미성맨션,206100.0,83633.33333333333,122466.66666666667,0.5942,11710,서울송파구
보화2차,105000.0,16000.0,89000.0,0.8476,11710,서울송파구
삼성,138500.0,68875.0,69625.0,0.5027,11710,서울송파구
상아2차아파트,156400.0,37075.0,119325.0,0.7629,11710,서울송파구
서림올림피아드,73500.0,45900.0,27600.0,0.3755,11710,서울송파구
석촌호수효성해링턴타워,23550.0,24000.0,-450.0,-0.0191,11710,서울송파구
성원상떼빌,150000.0,74750.0,75250.0,0.5017,11710,서울송파구
송파더센트레,151833.33333333334,57315.555555555555,94517.77777777778,0.6225,11710,서울송파구
송파더플래티넘,150000.0,75560.0,74440.0,0.4963,11710,서울송파구
송파동부쎈트레빌,199000.0,96500.0,102500.0,0.5151,11710,서울송파구
송파레미니스2단지,171000.0,77670.0,93330.0,0.5458,11710,서울송파구
송파레이크파크호반써밋Ⅰ,211500.0,88105.0,123395.0,0.5834,11710,서울송파구
송파레이크파크호반써밋Ⅱ,226000.0,99027.77777777778,126972.22222222222,0.5618,11710,서울송파구
송파삼성래미안아파트,228000.0,85166.66666666667,142833.3333333333,0.6265,11710,서울송파구
송파센텀레이크,167500.0,76250.0,91250.0,0.5448,11710,서울송파구
송파시그니처롯데캐슬,191340.0,82089.77272727272,109250.22727272728,0.571,11710,서울송파구
송파파인타운10단지,179500.0,60428.42857142857,119071.57142857142,0.6634,11710,서울송파구
송파파인타운11단지,182000.0,77218.0,104782.0,0.5757,11710,서울송파구
송파파인타운1단지,180000.0,53550.0,126450.0,0.7025,11710,서울송파구
송파파인타운3단지,172000.0,76333.33333333333,95666.66666666667,0.5562,11710,서울송파구
송파파인타운6단지,184000.0,60091.833333333336,123908.16666666666,0.6734,11710,서울송파구
송파파인타운9단지,169500.0,45321.5,124178.5,0.7326,11710,서울송파구
송파파크데일1단지,135300.0,46808.25,88491.75,0.654,11710,서울송파구
송파파크데일2단지,145000.0,42148.75,102851.25,0.7093,11710,서울송파구
신동아,74350.0,38000.0,36350.0,0.4889,11710,서울송파구
신성노바빌아파트,115833.33333333333,47875.0,67958.33333333333,0.5867,11710,서울송파구
쌍용,177000.0,70050.0,106950.0,0.6042,11710,서울송파구
아남,80000.0,44000.0,36000.0,0.45,11710,서울송파구
아시아선수촌아파트,466520.0,136585.7142857143,329934.2857142857,0.7072,11710,서울송파구
올림픽베어스타운1,154166.66666666666,61700.0,92466.66666666666,0.5998,11710,서울송파구
올림픽선수기자촌1단지,341000.0,78786.84210526316,262213.15789473685,0.769,11710,서울송파구
올림픽선수기자촌2단지,299000.0,102075.0,196925.0,0.6586,11710,서울송파구
올림픽카운티,31000.0,27800.0,3200.0,0.1032,11710,서울송파구
올림픽훼밀리타운,284531.25,94142.71428571429,190388.5357142857,0.6691,11710,서울송파구
우방1,119833.33333333333,32750.0,87083.33333333333,0.7267,11710,서울송파구
우방아파트,96000.0,48000.0,48000.0,0.5,11710,서울송파구
우성,164000.0,47909.444444444445,116090.55555555556,0.7079,11710,서울송파구
우성아파트,336700.0,92111.11111111111,244588.88888888888,0.7264,11710,서울송파구
우창,177000.0,65850.0,111150.0,0.628,11710,서울송파구
위례24단지(꿈에그린),188166.66666666666,67907.14285714286,120259.5238095238,0.6391,11710,서울송파구
위례신도시송파푸르지오,220500.0,96600.0,123900.0,0.5619,11710,서울송파구
위례아이파크,234000.0,80015.2,153984.8,0.6581,11710,서울송파구
위례중앙푸르지오2단지,207000.0,85066.66666666667,121933.33333333333,0.589,11710,서울송파구
잠실더샵루벤,246000.0,123000.0,123000.0,0.5,11710,서울송파구
잠실엘스,331294.1176470588,121834.69387755102,209459.4237695078,0.6322,11710,서울송파구
잠실올림픽공원아이파크,225000.0,115750.0,109250.0,0.4856,11710,서울송파구
잠실포스코더샵,150000.0,85000.0,65000.0,0.4333,11710,서울송파구
잠실한솔,187000.0,81500.0,105500.0,0.5642,11710,서울송파구
장미1,331000.0,79691.66666666667,251308.3333333333,0.7592,11710,서울송파구
장미2,313400.0,83678.57142857143,229721.42857142858,0.733,11710,서울송파구
장미3,380000.0,81900.0,298100.0,0.7845,11710,서울송파구
주공아파트 5단지,414700.0,56428.125,358271.875,0.8639,11710,서울송파구
코오롱아파트,211750.0,73625.0,138125.0,0.6523,11710,서울송파구
토성현대,77675.0,45000.0,32675.0,0.4207,11710,서울송파구
트리지움,326500.0,129110.41666666667,197389.5833333333,0.6046,11710,서울송파구
파크리오,255541.66666666666,110200.81967213115,145340.8469945355,0.5688,11710,서울송파구
파크하비오,193000.0,91284.28571428571,101715.71428571429,0.527,11710,서울송파구
풍림1,129500.0,40950.0,88550.0,0.6838,11710,서울송파구
한강극동,145800.0,62812.5,82987.5,0.5692,11710,서울송파구
한신잠실코아,136666.66666666666,48500.0,88166.66666666666,0.6451,11710,서울송파구
한양아파트,208000.0,56237.5,151762.5,0.7296,11710,서울송파구
한영해시안아파트,108400.0,48300.0,60100.0,0.5544,11710,서울송파구
헬리오시티,271636.36363636365,114134.36206896552,157502.00156739814,0.5798,11710,서울송파구
현대,105000.0,66441.66666666667,38558.33333333333,0.3672,11710,서울송파구
현대(62-5),93500.0,49350.0,44150.0,0.4722,11710,서울송파구
현대1,182000.0,65118.75,116881.25,0.6422,11710,서울송파구
현대2차,140000.0,39000.0,101000.0,0.7214,11710,서울송파구
현대리버빌1지구,131000.0,56292.0,74708.0,0.5703,11710,서울송파구
호수임광,146000.0,60333.333333333336,85666.66666666666,0.5868,11710,서울송파구
힐스테이트e편한세상문정,181666.66666666666,63717.708333333336,117948.95833333331,0.6493,11710,서울송파구
힐스테이트송파위례,225000.0,86750.0,138250.0,0.6144,11710,서울송파구
DMC마포청구아파트,117625.0,61070.0,56555.0,0.4808,11440,서울마포구
DMC상암센트럴파크1단지,142000.0,70000.0,72000.0,0.507,11440,서울마포구
DMC상암센트럴파크2단지,73500.0,33600.0,39900.0,0.5429,11440,서울마포구
공덕1삼성래미안,201500.0,68598.33333333333,132901.6666666667,0.6596,11440,서울마포구
공덕2삼성래미안,180000.0,74983.33333333333,105016.66666666667,0.5834,11440,서울마포구
공덕3삼성래미안,207500.0,83333.33333333333,124166.66666666667,0.5984,11440,서울마포구
공덕SK리더스뷰,243750.0,121500.0,122250.0,0.5015,11440,서울마포구
공덕자이,231400.0,94887.5,136512.5,0.5899,11440,서울마포구
대림2,114500.0,74000.0,40500.0,0.3537,11440,서울마포구
대명,101666.66666666667,50000.0,51666.66666666667,0.5082,11440,서울마포구
대우미래사랑,49490.0,27000.0,22490.0,0.4544,11440,서울마포구
대흥동태영아파트,205875.0,73916.66666666667,131958.3333333333,0.641,11440,서울마포구
더클래시,195700.0,85368.75,110331.25,0.5638,11440,서울마포구
도화동현대,189000.0,59910.0,129090.0,0.683,11440,서울마포구
래미안마포리버웰,277500.0,120000.0,157500.0,0.5676,11440,서울마포구
래미안밤섬리베뉴Ⅱ,222000.0,96483.33333333333,125516.66666666667,0.5654,11440,서울마포구
마포그랑자이,230500.0,98318.18181818182,132181.81818181818,0.5735,11440,서울마포구
마포래미안푸르지오1단지,212500.0,91325.0,121175.0,0.5702,11440,서울마포구
마포래미안푸르지오2단지,236666.66666666666,109166.66666666667,127499.99999999999,0.5387,11440,서울마포구
마포래미안푸르지오3단지,239000.0,106425.0,132575.0,0.5547,11440,서울마포구
마포래미안푸르지오4단지,257500.0,99235.625,158264.375,0.6146,11440,서울마포구
마포센트럴 아이파크,238000.0,90000.0,148000.0,0.6218,11440,서울마포구
마포쌍용황금아파트,175000.0,65360.0,109640.0,0.6265,11440,서울마포구
마포웨스트리버태영데시앙,184000.0,83966.66666666667,100033.33333333333,0.5437,11440,서울마포구
마포자이,260000.0,102112.5,157887.5,0.6073,11440,서울마포구
마포자이2차,260000.0,73178.5,186821.5,0.7185,11440,서울마포구
마포중동현대,115250.0,46125.0,69125.0,0.5998,11440,서울마포구
마포푸르지오더센트럴,94166.66666666667,67333.33333333333,26833.333333333343,0.285,11440,서울마포구
마포프레스티지자이,283000.0,101755.26315789473,181244.73684210528,0.6404,11440,서울마포구
마포한강2차푸르지오,202000.0,120000.0,82000.0,0.4059,11440,서울마포구
마포한강아이파크,165000.0,88350.0,76650.0,0.4645,11440,서울마포구
마포현대,164250.0,52900.0,111350.0,0.6779,11440,서울마포구
만민하늘애,78000.0,52166.666666666664,25833.333333333336,0.3312,11440,서울마포구
메세나폴리스,295000.0,235833.33333333334,59166.66666666666,0.2006,11440,서울마포구
밤섬경남아너스빌,187000.0,78000.0,109000.0,0.5829,11440,서울마포구
벽산솔렌스힐,144000.0,75000.0,69000.0,0.4792,11440,서울마포구
보성,127500.0,48833.333333333336,78666.66666666666,0.617,11440,서울마포구
삼환나띠르빌,118000.0,73500.0,44500.0,0.3771,11440,서울마포구
상록,127500.0,50316.666666666664,77183.33333333334,0.6054,11440,서울마포구
상암월드컵파크10단지,113500.0,46279.25,67220.75,0.5923,11440,서울마포구
상암월드컵파크2단지,126125.0,56818.181818181816,69306.81818181818,0.5495,11440,서울마포구
상암월드컵파크3단지,138000.0,63390.0,74610.0,0.5407,11440,서울마포구
상암월드컵파크4단지,180500.0,69158.33333333333,111341.66666666667,0.6169,11440,서울마포구
상암월드컵파크5단지,146000.0,72470.0,73530.0,0.5036,11440,서울마포구
상암월드컵파크6단지,149200.0,79666.66666666667,69533.33333333333,0.466,11440,서울마포구
상암월드컵파크7단지,137500.0,70067.09090909091,67432.90909090909,0.4904,11440,서울마포구
상암월드컵파크9단지,114425.0,49384.0,65041.0,0.5684,11440,서울마포구
서강GS,155800.0,59815.375,95984.625,0.6161,11440,서울마포구
서교푸르지오,127500.0,74000.0,53500.0,0.4196,11440,서울마포구
성사1차풍림아파트101동,67000.0,44100.0,22900.0,0.3418,11440,서울마포구
성산시영(대우),139600.0,30085.068965517243,109514.93103448275,0.7845,11440,서울마포구
성산시영(유원),165833.33333333334,38433.25,127400.08333333334,0.7682,11440,서울마포구
성산월드타운대림,114971.42857142857,64920.0,50051.428571428565,0.4353,11440,서울마포구
